NTD ID,Legacy NTD ID,Agency,Mode/Type of Service Status,Reporter Type,UACE CD,UZA Name,Mode,TOS,3 Mode,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,
30034,3034,Maryland Transit Administration,Active,Full Reporter,04843,"Baltimore, MD",DR,TX,Bus,,,,,,,,,"152,966 ","319,419 ","389,307 ","467,640 ","579,025 ","579,444 ","619,817 ","777,611 ","816,524 ","891,278 ","633,082 ","505,387 ","480,934 ","656,807 ","1,272,008 ","1,986,438 ","601,639 ",
30034,3034,Maryland Transit Administration,Active,Full Reporter,04843,"Baltimore, MD",HR,DO,Rail,"13,031,969 ","14,376,851 ","13,332,296 ","12,414,591 ","12,761,119 ","13,513,772 ","13,793,369 ","13,232,287 ","13,910,850 ","14,939,578 ","15,399,290 ","15,034,527 ","14,555,185 ","12,948,306 ","11,241,023 ","10,247,257 ","7,526,797 ","7,317,064 ","2,839,708 ","2,021,540 ","1,988,959 ","1,852,036 ","5,543,857 ","4,619,632 ","971,111 ",
30034,3034,Maryland Transit Administration,Active,Full Reporter,04843,"Baltimore, MD",LR,DO,Rail,"7,823,448 ","8,808,844 ","7,283,806 ","6,151,498 ","5,241,475 ","7,461,136 ","8,120,776 ","8,981,152 ","8,282,601 ","8,623,168 ","8,824,424 ","8,588,080 ","8,049,966 ","6,931,725 ","7,745,480 ","7,222,529 ","7,157,617 ","6,509,175 ","2,813,659 ","2,722,282 ","3,251,829 ","3,546,666 ","5,444,978 ","5,497,012 ","1,365,211 ",
30034,3034,Maryland Transit Administration,Active,Full Reporter,04843,"Baltimore, MD",MB,DO,Bus,"81,453,717 ","84,223,306 ","82,005,372 ","84,042,911 ","74,273,187 ","76,817,647 ","80,109,238 ","83,757,437 ","85,012,352 ","79,693,963 ","68,696,983 ","72,362,504 ","77,768,223 ","77,087,511 ","72,661,066 ","66,275,560 ","64,007,566 ","64,430,462 ","41,414,726 ","36,754,043 ","42,557,957 ","47,389,214 ","48,986,453 ","32,158,966 ","11,290,004 ",
30034,3034,Maryland Transit Administration,Inactive,Full Reporter,04843,"Baltimore, MD",MB,PT,Bus,"1,838,362 ","2,589,753 ","2,533,700 ","2,650,996 ","2,923,187 ","3,489,377 ","3,994,753 ","3,851,682 ","3,921,910 ","4,189,959 ",,,,,,,,,,,,,,,,
30035,3035,Ohio Valley Regional Transportation Authority,Active,Full Reporter,94726,"Wheeling, WV--OH",DR,DO,Bus,"4,654 ","4,608 ","4,724 ","4,683 ","4,754 ","4,357 ","5,274 ","4,836 ","5,166 ","5,744 ","5,374 ","4,841 ","4,388 ","4,204 ","4,699 ","4,857 ","4,373 ","3,940 ","3,596 ","4,026 ","4,126 ","6,431 ","3,864 ","2,943 ",708 ,
30035,3035,Ohio Valley Regional Transportation Authority,Active,Full Reporter,94726,"Wheeling, WV--OH",MB,DO,Bus,"519,108 ","484,598 ","489,609 ","496,199 ","475,873 ","428,281 ","443,632 ","415,700 ","396,869 ","406,106 ","427,310 ","441,840 ","442,977 ","406,535 ","393,603 ","378,446 ","365,217 ","372,806 ","288,201 ","263,960 ","279,600 ","320,189 ","344,364 ","345,183 ","75,680 ",
30036,3036,City of Charlottesville,Inactive,Small Systems Reporter,15724,"Charlottesville, VA",DR,PT,Bus,"140,688 ","59,358 ","264,929 ","259,759 ","111,943 ","77,678 ","37,730 ",,,,,,,,,,,,,,,,,,,
30036,3036,City of Charlottesville,Active,Small Systems Reporter,15724,"Charlottesville, VA",MB,DO,Bus,"931,286 ","913,641 ","938,074 ","1,395,907 ","598,567 ","1,592,771 ","1,825,240 ","2,161,083 ","2,235,143 ","2,399,460 ",,,,,,,,,,,,,,,,
30040,3040,City of Annapolis,Active,Small Systems Reporter,04843,"Baltimore, MD",MB,DO,Bus,"1,285,765 ","1,286,853 ","1,033,885 ","1,465,671 ","1,607,727 ","1,598,340 ","1,628,154 ","1,603,407 ","1,361,983 ","777,417 ",,,,,,,,,,,,,,,,
