NTD ID,Legacy NTD ID,Agency,Mode,TOS,3 Mode,Mode/Type of Service Status,Reporter Type,Organization Type,HQ City,HQ State,UACE CD,UZA Name,UZA SQ Miles,UZA Population,Service Area Population,Service Area SQ Miles,Last Closed Report Year,Last Closed FY End Month,Last Closed FY End Year,Passenger Miles FY,Unlinked Passenger Trips FY,Avg Trip Length FY,Fares FY,Operating Expenses FY,Avg Cost Per Trip FY,Avg Fares Per Trip FY
70010,7010,Des Moines Area Regional Transit Authority,DR,TN,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,DES MOINES,IA,23743,"Des Moines, IA",224.74," 	542,486 "," 	534,049 ", 	616 ,,,,,,,,,,
70010,7010,Des Moines Area Regional Transit Authority,DR,TX,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,DES MOINES,IA,23743,"Des Moines, IA",224.74," 	542,486 "," 	534,049 ", 	616 ,2024,6,2024,"78,127 ","10,846 ",7 ,"$7,375 ","$354,441 ",$32.68 ,$0.68 
70010,7010,Des Moines Area Regional Transit Authority,MB,DO,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,DES MOINES,IA,23743,"Des Moines, IA",224.74," 	542,486 "," 	534,049 ", 	616 ,2024,6,2024,"14,740,071 ","3,335,014 ",4 ,"$4,300,337 ","$30,316,529 ",$9.09 ,$1.29 
70010,7010,Des Moines Area Regional Transit Authority,VP,DO,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,DES MOINES,IA,23743,"Des Moines, IA",224.74," 	542,486 "," 	534,049 ", 	616 ,2024,6,2024,"2,688,744 ","58,937 ",46 ,"$261,317 ","$748,332 ",$12.70 ,$4.43 
70011,7011,City of Dubuque,DR,DO,Bus,Active,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",DUBUQUE,IA,24823,"Dubuque, IA--IL",34.17," 	70,332 "," 	60,140 ", 	26 ,2024,6,2024,,,,,,,
70011,7011,City of Dubuque,DR,PT,Bus,Inactive,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",DUBUQUE,IA,24823,"Dubuque, IA--IL",34.17," 	70,332 "," 	60,140 ", 	26 ,2003,6,2003,"181,573 ","56,969 ",3 ,$0 ,"$368,715 ",$6.47 ,$0.00 
70011,7011,City of Dubuque,MB,DO,Bus,Active,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",DUBUQUE,IA,24823,"Dubuque, IA--IL",34.17," 	70,332 "," 	60,140 ", 	26 ,2024,6,2024,,,,,,,
70012,7012,City of Sioux City,DR,PT,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",SIOUX CITY,IA,82225,"Sioux City, IA--NE--SD",55.03," 	113,066 "," 	95,097 ", 	40 ,2024,6,2024,"233,025 ","46,342 ",5 ,"$162,731 ","$1,405,986 ",$30.34 ,$3.51 
70012,7012,City of Sioux City,MB,DO,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",SIOUX CITY,IA,82225,"Sioux City, IA--NE--SD",55.03," 	113,066 "," 	95,097 ", 	40 ,2024,6,2024,"3,162,829 ","653,477 ",5 ,"$678,688 ","$4,699,724 ",$7.19 ,$1.04 
70013,7013,Metropolitan Transit Authority of Black Hawk County,DR,DO,Bus,Active,Small Systems Reporter,Independent Public Agency or Authority of Transit Service,WATERLOO,IA,92593,"Waterloo, IA",63.71," 	114,139 "," 	108,519 ", 	51 ,2024,6,2024,,,,,,,
70013,7013,Metropolitan Transit Authority of Black Hawk County,DR,PT,Bus,Inactive,Small Systems Reporter,Independent Public Agency or Authority of Transit Service,WATERLOO,IA,92593,"Waterloo, IA",63.71," 	114,139 "," 	108,519 ", 	51 ,2012,6,2012,"96,021 ","12,615 ",8 ,"$64,859 ","$192,021 ",$15.22 ,$5.14 
70013,7013,Metropolitan Transit Authority of Black Hawk County,MB,DO,Bus,Active,Small Systems Reporter,Independent Public Agency or Authority of Transit Service,WATERLOO,IA,92593,"Waterloo, IA",63.71," 	114,139 "," 	108,519 ", 	51 ,2024,6,2024,,,,,,,
70014,7014,Topeka Metropolitan Transit Authority,DR,DO,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,TOPEKA,KS,88084,"Topeka, KS",84.24," 	148,956 "," 	127,473 ", 	58 ,2024,6,2024,"98,548 ","28,331 ",3 ,"$85,425 ","$1,468,274 ",$51.83 ,$3.02 
70014,7014,Topeka Metropolitan Transit Authority,DR,PT,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,TOPEKA,KS,88084,"Topeka, KS",84.24," 	148,956 "," 	127,473 ", 	58 ,2024,6,2024,"22,653 ","5,834 ",4 ,"$21,708 ","$139,619 ",$23.93 ,$3.72 
70014,7014,Topeka Metropolitan Transit Authority,DR,TX,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,TOPEKA,KS,88084,"Topeka, KS",84.24," 	148,956 "," 	127,473 ", 	58 ,2024,6,2024,"79,294 ","15,450 ",5 ,"$52,203 ","$306,162 ",$19.82 ,$3.38 
70014,7014,Topeka Metropolitan Transit Authority,MB,DO,Bus,Active,Full Reporter,Independent Public Agency or Authority of Transit Service,TOPEKA,KS,88084,"Topeka, KS",84.24," 	148,956 "," 	127,473 ", 	58 ,2024,6,2024,"3,773,194 ","929,053 ",4 ,"$593,215 ","$6,588,344 ",$7.09 ,$0.64 
70015,7015,City of Wichita ,DR,DO,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",WICHITA,KS,95077,"Wichita, KS",226.84," 	500,231 "," 	395,745 ", 	164 ,2024,12,2024,"666,926 ","70,036 ",10 ,"$230,195 ","$2,653,961 ",$37.89 ,$3.29 
70015,7015,City of Wichita ,DR,PT,Bus,Inactive,Full Reporter,"City, County or Local Government Unit or Department of Transportation",WICHITA,KS,95077,"Wichita, KS",226.84," 	500,231 "," 	395,745 ", 	164 ,2016,12,2016,"661,233 ","114,997 ",6 ,"$318,374 ","$1,126,242 ",$9.79 ,$2.77 
70015,7015,City of Wichita ,MB,DO,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",WICHITA,KS,95077,"Wichita, KS",226.84," 	500,231 "," 	395,745 ", 	164 ,2024,12,2024,"6,651,421 ","1,158,923 ",6 ,"$1,886,164 ","$12,115,435 ",$10.45 ,$1.63 
70015,7015,City of Wichita ,VP,PT,Bus,Inactive,Full Reporter,"City, County or Local Government Unit or Department of Transportation",WICHITA,KS,95077,"Wichita, KS",226.84," 	500,231 "," 	395,745 ", 	164 ,2017,12,2017,"88,776 ","2,466 ",36 ,"$6,122 ","$6,915 ",$2.80 ,$2.48 
70016,7016,City of Columbia,DR,DO,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",COLUMBIA,MO,18937,"Columbia, MO",67.2," 	141,831 "," 	126,853 ", 	61 ,2024,9,2024,"355,109 ","61,768 ",6 ,"$100,240 ","$2,174,532 ",$35.20 ,$1.62 
70016,7016,City of Columbia,MB,DO,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",COLUMBIA,MO,18937,"Columbia, MO",67.2," 	141,831 "," 	126,853 ", 	61 ,2024,9,2024,"1,639,594 ","621,662 ",3 ,"$779,328 ","$4,624,807 ",$7.44 ,$1.25 
